Round,Fish,Section,Sample ID,Sample,Lactate
3,1,A,1A_3,1A,55.3073897324656
3,1,B,1B_3,1B,72.919978308026
3,1,C,1C_3,1C,58.9673318872017
3,1,D,1D_3,1D,63.878604483008
3,2,A,2A_3,2A,55.2520173535792
3,2,B,2B_3,2B,52.0825379609544
3,2,C,2C_3,2C,54.6192046276211
3,2,D,2D_3,2D,61.2726247288503
3,3,A,3A_3,3A,61.8760520607375
3,3,B,3B_3,3B,66.1168474331164
3,3,C,3C_3,3C,61.7465075921909
3,3,D,3D_3,3D,60.3267678958785
4,1,A,1A_4,1A,63.589612842304
4,1,B,1B_4,1B,64.7673654390935
4,1,C,1C_4,1C,58.4289518413598
4,1,D,1D_4,1D,59.6858262511804
4,2,A,2A_4,2A,63.5930311614731
4,2,B,2B_4,2B,49.0932436260623
4,2,C,2C_4,2C,71.5785552407932
4,2,D,2D_4,2D,71.1579603399433
4,3,A,3A_4,3A,77.5546742209632
4,3,B,3B_4,3B,61.024716713881
4,3,C,3C_4,3C,76.3565864022663
4,3,D,3D_4,3D,73.2662889518413
4,4,A,4A_4,4A,67.7450424929178
4,4,B,4B_4,4B,64.6910056657224
4,4,C,4C_4,4C,73.1551416430595
4,4,D,4D_4,4D,74.4326156751652
4,5,A,5A_4,5A,90.8454390934844
4,5,B,5B_4,5B,85.0654343720491
4,5,C,5C_4,5C,93.0001133144476
4,5,D,5D_4,5D,81.9045325779037
5,1,A,1A_5,1A,73.1116336633663
5,1,B,1B_5,1B,82.0002475247525
5,1,C,1C_5,1C,77.7327832783278
5,1,D,1D_5,1D,82.0144719471947
5,2,A,2A_5,2A,73.4798184818482
5,2,B,2B_5,2B,85.4272607260726
5,2,C,2C_5,2C,80.7614081408141
5,2,D,2D_5,2D,87.5977502750275
5,3,A,3A_5,3A,74.508503850385
5,3,B,3B_5,3B,88.3685643564357
5,3,C,3C_5,3C,84.5449504950495
5,3,D,3D_5,3D,96.2356765676568
5,4,A,4A_5,4A,74.9258085808581
5,4,B,4B_5,4B,90.0466171617162
5,4,C,4C_5,4C,95.5926677667767
5,4,D,4D_5,4D,87.6612926292629
6,1,A,1A_6,1A,74.3167454954955
6,1,B,1B_6,1B,73.0483108108108
6,1,C,1C_6,1C,90.6757882882883
6,1,D,1D_6,1D,81.3460529279279
6,2,A,2A_6,2A,79.622027027027
6,2,B,2B_6,2B,101.286368243243
6,2,C,2C_6,2C,93.0505743243243
6,2,D,2D_6,2D,92.9428772522523
6,3,A,3A_6,3A,70.2596734234234
6,3,B,3B_6,3B,84.2326351351351
6,3,C,3C_6,3C,98.25375
6,3,D,3D_6,3D,85.3927702702702
6,4,A,4A_6,4A,78.4650112612613
6,4,B,4B_6,4B,101.341920045045
6,4,C,4C_6,4C,107.773834459459
6,4,D,4D_6,4D,103.993980855856