Run,Temperature,Check Number,Slope (% sat / hr),r2,
S1_24,24,1,-12.368,0.852,
S1_24,24,1,-8.074,0.618,
S1_24,24,1,-6.002,0.58,
S1_24,24,1,-6.549,0.649,
S1_24,24,2,-10.24,0.364,
S1_24,24,2,-5.797,0.572,
S1_24,24,2,-7.619,0.61,
S1_24,24,2,-5.644,0.609,
S1_24,24,2,-6.537,0.47,
S1_24,24,2,-6.596,0.629,
S2_24,24,1,-4.716,0.599,
S2_24,24,1,-3.78,0.476,
S2_24,24,1,-4.6,0.401,
S2_24,24,2,-3.401,0.293,
S2_24,24,2,-4.197,0.366,
S2_24,24,2,-8.026,0.681,
S3_24,24,1,-6.623,0.696,
S3_24,24,1,-0.088,0,
S3_24,24,1,-2.538,0.09,
S3_24,24,2,-3.891,0.174,
S4_24,24,1,-5.45,0.497,
S4_24,24,1,-6.843,0.539,
S4_24,24,1,-2.092,0.112,
S4_24,24,2,-6.582,0.557,
S4_24,24,2,-4.97,0.375,
S4_24,24,2,-3.959,0.307,
S4_24,24,2,-3.89,0.263,
S5_24,24,1,-13.393,0.675,
S5_24,24,1,-4.616,0.281,
S5_24,24,1,-7.301,0.285,
S5_24,24,1,-5.306,0.379,
S5_24,24,2,-3.212,0.08,
S5_24,24,2,-6.866,0.282,
S5_24,24,2,-9.679,0.421,
S5_24,24,2,-6.43,0.246,
S6_24,24,1,-11.899,0.744,
S6_24,24,1,-7.887,0.545,
S6_24,24,1,-5.729,0.324,
S6_24,24,1,-7.038,0.494,
S6_24,24,2,-11.748,0.849,
S6_24,24,2,-6.91,0.634,
S6_24,24,2,-7.5,0.658,
S6_24,24,2,-10.14,0.878,
S6_24,24,2,-6.898,0.683,
S6_24,24,2,-7.963,0.692,
S6_24,24,2,-6.835,0.512,
S6_24,24,2,-4.147,0.353,
S6_24,24,2,-4.536,0.409,
S6_24,24,2,-5.818,0.51,
S7_24,24,2,-4.213,0.505,
S7_24,24,2,-7.996,0.785,
S7_24,24,2,-6.964,0.742,
S7_24,24,1,-9.569,0.7,
S7_24,24,1,-3.893,0.234,
S7_24,24,1,-8.622,0.754,
S7_24,24,1,-5.702,0.631,
S8_24,24,1,-6.575,0.486,
S8_24,24,1,-4.022,0.325,
S8_24,24,1,-6.506,0.55,
S8_24,24,2,-7.489,0.593,
S8_24,24,2,-6.972,0.564,
S8_24,24,2,-9.266,0.657,
S8_24,24,2,-7.138,0.594,
S9_24,24,1,-9.221,0.714,
S9_24,24,1,-8.091,0.662,
S9_24,24,1,-6.01,0.65,
S9_24,24,2,-5.755,0.564,
S9_24,24,2,-1.576,0.08,
S9_24,24,2,-5.444,0.515,
S10_24,24,1,-11.531,0.698,
S10_24,24,1,-8.309,0.833,
S10_24,24,1,-7.159,0.546,
S10_24,24,2,-7.285,0.585,
S10_24,24,2,-5.278,0.411,
S10_24,24,2,-6.941,0.507,
S1_27,27,1,-6.389,0.69,
S1_27,27,1,-6.432,0.54,
S1_27,27,1,-4.69,0.571,
S1_27,27,1,-6.275,0.648,
S1_27,27,1,-3.249,0.376,
S1_27,27,1,-5.93,0.445,
S1_27,27,2,-4.985,0.418,
S1_27,27,2,-4.354,0.49,
S2_27,27,1,-1.655,0.125,
S2_27,27,1,-3.96,0.538,
S2_27,27,1,-5.965,0.721,
S2_27,27,1,-7.586,0.675,
S2_27,27,2,-14.854,0.638,
S2_27,27,2,-7.051,0.609,
S2_27,27,2,-6.909,0.63,
S2_27,27,2,-9.032,0.677,
S3_27,27,1,-17.611,0.736,
S3_27,27,1,-13.075,0.771,
S3_27,27,1,-12.337,0.684,
S3_27,27,1,-11.639,0.396,
S3_27,27,1,-10.133,0.498,
S3_27,27,2,-14.482,0.706,
S3_27,27,2,-7.474,0.32,
S3_27,27,2,-3.017,0.056,
S4_27,27,1,-10.336,0.61,
S4_27,27,1,-3.334,0.172,
S4_27,27,1,-8.495,0.517,
S4_27,27,1,-7.244,0.36,
S4_27,27,2,-9.823,0.608,
S4_27,27,2,-5.072,0.235,
S4_27,27,2,-6.248,0.318,
S4_27,27,2,-8.898,0.557,
S5_27,27,1,-9.846,0.335,
S5_27,27,1,-16.061,0.532,
S5_27,27,1,-10.815,0.379,
S5_27,27,2,-7.298,0.418,
S5_27,27,2,-4.464,0.247,
S5_27,27,2,-7.463,0.286,
S6_27,27,1,-5.434,0.183,
S6_27,27,1,-1.387,0.076,
S6_27,27,2,-3.062,0.241,
S6_27,27,2,-4.77,0.354,
S6_27,27,2,-3.298,0.408,
S7_27,27,1,-9.643,0.631,
S7_27,27,1,-6.836,0.46,
S7_27,27,1,-10.184,0.581,
S7_27,27,1,-6.024,0.383,
S7_27,27,2,-9.559,0.501,
S7_27,27,2,-6.827,0.447,
S7_27,27,2,-5.617,0.348,
S8_27,27,1,-9.301,0.716,
S8_27,27,1,-9.471,0.669,
S8_27,27,1,-12.022,0.764,
S8_27,27,2,-5.375,0.42,
S8_27,27,2,-6.641,0.595,
S8_27,27,2,-4.935,0.438,
S8_27,27,2,-10.033,0.77,
S9_27,27,1,-10.078,0.684,
S9_27,27,1,-7.577,0.515,
S9_27,27,1,-8.372,0.575,
S9_27,27,1,-6.492,0.398,
S9_27,27,2,-10.877,0.626,
S9_27,27,2,-10.425,0.735,
S9_27,27,2,-10.004,0.748,
S9_27,27,2,-14.428,0.756,
S10_27,27,2,-12.098,0.734,
S10_27,27,2,-6.84,0.464,
S10_27,27,2,-13.4,0.851,
S1_30,30,1,-3.691,0.287,
S1_30,30,1,-5.128,0.656,
S1_30,30,1,-7.212,0.693,
S1_30,30,1,-8.322,0.678,
S1_30,30,2,-10.788,0.87,
S1_30,30,2,-10.01,0.8,
S1_30,30,2,-10.201,0.879,
S2_30,30,1,-7.696,0.371,
S2_30,30,1,-4.121,0.176,
S2_30,30,1,-8.059,0.472,
S2_30,30,2,-6.467,0.239,
S2_30,30,2,-0.652,0.006,
S2_30,30,2,-9.923,0.477,
S3_30,30,1,-16.34,0.593,
S3_30,30,1,-7.487,0.192,
S3_30,30,1,-4.711,0.108,
S3_30,30,1,-14.549,0.624,
S3_30,30,2,-16.375,0.585,
S3_30,30,2,-19.521,0.788,
S3_30,30,2,-10.833,0.486,
S3_30,30,2,-9.73,0.298,
S4_30,30,1,-8.482,0.48,
S4_30,30,1,-12.299,0.665,
S4_30,30,1,-11.61,0.683,
S4_30,30,1,-12.132,0.712,
S4_30,30,1,-10.672,0.704,
S4_30,30,2,-6.689,0.301,
S4_30,30,2,-168.626,0.481,
S4_30,30,2,-6.291,0.415,
S4_30,30,2,-5.367,0.247,
S4_30,30,2,-5.241,0.208,
S4_30,30,2,-7.9,0.426,
S5_30,30,1,-16.021,0.632,
S5_30,30,1,-12.847,0.401,
S5_30,30,1,-7.862,0.365,
S5_30,30,2,-10.905,0.553,
S5_30,30,2,-7.366,0.388,
S5_30,30,2,-7.96,0.26,
S6_30,30,1,-7.247,0.703,
S6_30,30,1,-7.104,0.535,
S6_30,30,1,-7.495,0.539,
S6_30,30,2,-9.674,0.665,
S6_30,30,2,-8.528,0.543,
S6_30,30,2,-8.461,0.565,
S6_30,30,2,-9.35,0.703,
S7_30,30,1,-8.271,0.462,
S7_30,30,1,-9.969,0.614,
S7_30,30,1,-9.216,0.518,
S7_30,30,1,-13.247,0.838,
S7_30,30,2,-2.161,0.044,
S7_30,30,2,-5.453,0.272,
S7_30,30,2,-7.635,0.42,
S8_30,30,1,-10.171,0.534,
S8_30,30,1,-7.909,0.418,
S8_30,30,1,-9.657,0.465,
S8_30,30,2,-9.891,0.408,
S8_30,30,2,-9.038,0.619,
S8_30,30,2,-12.312,0.759,
S8_30,30,2,-7.652,0.554,
S8_30,30,2,-7.905,0.337,
S8_30,30,2,-6.343,0.431,
S8_30,30,2,-7.649,0.577,
S8_30,30,2,-6.349,0.339,
S8_30,30,2,-9.146,0.511,
S8_30,30,2,-7.203,0.4,
S8_30,30,2,-7.047,0.484,
S9_30,30,1,-9.81,0.37,
S9_30,30,1,-9.337,0.515,
S9_30,30,1,-3.004,0.197,
S9_30,30,2,-10.396,0.565,
S9_30,30,2,-11.6,0.641,
S9_30,30,2,-11.579,0.663,
S10_30,30,1,-24.662,0.644,
S10_30,30,1,-16.865,0.678,
S10_30,30,1,-14.049,0.524,
S10_30,30,2,-8.508,0.288,
S10_30,30,2,-9.461,0.522,
S10_30,30,2,-14.083,0.574,
S10_30,30,2,-15.504,0.55,
S1_33,33,2,-12.776,0.755,
S1_33,33,2,-16.853,0.51,
S1_33,33,2,-9.799,0.184,
S1_33,33,2,-10.813,0.331,
S1_33,33,2,-8.304,0.239,
S1_33,33,2,2.9,0.063,
S1_33,33,2,-5.035,0.118,
S1_33,33,2,-14.96,0.718,
S1_33,33,2,-13.412,0.621,
S2_33,33,1,-7.56,0.819,
S2_33,33,1,-5.726,0.799,
S2_33,33,1,-4.793,0.759,
S2_33,33,1,-5.016,0.785,
S2_33,33,1,-2.915,0.826,
S2_33,33,1,-6.311,0.548,
S2_33,33,2,-10.701,0.542,
S2_33,33,2,-17.281,0.827,
S2_33,33,2,-13.215,0.584,
S3_33,33,1,-15.72,0.857,
S3_33,33,1,-20.463,0.881,
S3_33,33,1,-16.218,0.874,
S3_33,33,2,-8.51,0.539,
S3_33,33,2,-5.08,0.333,
S3_33,33,2,-7.199,0.369,
S4_33,33,1,-14.241,0.553,
S4_33,33,1,-12.756,0.654,
S4_33,33,1,-6.911,0.32,
S4_33,33,1,-13.839,0.656,
S4_33,33,1,-11.738,0.557,
S4_33,33,1,-11.322,0.587,
S4_33,33,1,-3.061,0.088,
S4_33,33,1,-11.196,0.464,
S4_33,33,1,-16.149,0.718,
S4_33,33,2,-13.559,0.749,
S4_33,33,2,-8.32,0.574,
S4_33,33,2,-6.243,0.263,
S4_33,33,2,-16.27,0.723,
S5_33,33,1,-11.98,0.555,
S5_33,33,1,-9.715,0.455,
S5_33,33,1,-15.042,0.692,
S5_33,33,1,-11.997,0.612,
S5_33,33,2,-17.192,0.646,
S5_33,33,2,-9.31,0.56,
S5_33,33,2,-15.192,0.665,
S5_33,33,2,-14.833,0.647,
S6_33,33,1,-4.081,0.204,
S6_33,33,1,-9.592,0.415,
S6_33,33,1,-7.091,0.51,
S6_33,33,2,-16.141,0.799,
S6_33,33,2,-13.993,0.707,
S6_33,33,2,-16.767,0.764,
S6_33,33,2,-14.092,0.693,
S7_33,33,1,-9.628,0.575,
S7_33,33,1,-10.489,0.628,
S7_33,33,1,-7.715,0.603,
S7_33,33,1,-7.514,0.567,
S7_33,33,2,-6.774,0.351,
S7_33,33,2,-9.293,0.664,
S7_33,33,2,-8.73,0.424,
S8_33,33,1,-11.509,0.73,
S8_33,33,1,-10.898,0.694,
S8_33,33,1,-8.561,0.612,
S8_33,33,1,-11.326,0.622,
S8_33,33,2,-18.189,0.833,
S8_33,33,2,-13.831,0.779,
S9_33,33,1,-10.114,0.648,
S9_33,33,1,-12.5,0.788,
S9_33,33,1,-15.583,0.666,
S9_33,33,1,-16.324,0.776,
S9_33,33,2,-7.851,0.402,
S9_33,33,2,-14.684,0.723,
S9_33,33,2,-8.398,0.383,
S10_33,33,1,-8.559,0.29,
S10_33,33,1,-7.179,0.331,
S10_33,33,1,-6.727,0.222,
S10_33,33,2,-17.695,0.716,
S10_33,33,2,-11.234,0.358,
S10_33,33,2,-8.332,0.272,
S10_33,33,2,-16.841,0.666,