Fish,MMR,Body weight,Temp
S1_3,645.9,44.1,24
S2_2,733.0,36.4,24
S3_1,718.6,47.8,24
S4_1,569.2,49.8,24
S5_2,613.0,50,24
S6_1,605.6,42,24
S7_3,610.1,56,24
S8_3,729.9,59,24
S9_1,716.0,46,24
S10_1,753.6,48,24
S1_4,922.3,42.1,27
S2_1,720.0,39.2,27
S3_2,1040.6,48.3,27
S4_2,1163.0,39.2,27
S5_4,707.1,38,27
S6_3,853.6,54,27
S7_4,940.4,53,27
S8_4,961.4,41,27
S9_2,769.9,40,27
S10_2,844.5,34,27
S1_5,781.5,34.8,30
S2_4,1116.3,42.1,30
S3_3,756.2,45.8,30
S4_4,802.5,63.3,30
S5_3,672.2,63,30
S6_4,828.4,59,30
S7_2,930.1,59,30
S8_1,805.4,53,30
S9_3,758.8,61,30
S10_4,1014.5,49,30
S1_1,1013.1,44.9,33
S2_3,693.1,63.6,33
S3_4,947.4,42.6,33
S4_3,806.9,47.2,33
S5_1,801.4,49.2,33
S6_2,645.9,57,33
S7_1,822.0,43,33
S8_2,1009.9,39,33
S9_4,828.8,45,33
S10_3,1137.1,41,33